List of function left to be implemented
for Lua 5.4 C API

# Update vim comamnd
# %s/Not done\(.*name\)$/Done    \1/g

Status         | Name
--------------------------------------
Done           | lua_absindex
Not done       | lua_arith
Not done       | lua_atpanic
Done           | lua_call
Not done       | lua_callk
Done           | lua_checkstack
Not done       | lua_close
Not done       | lua_closeslot
Not done       | lua_compare
Not done       | lua_concat
Done           | lua_copy
Done           | lua_createtable
Not done       | lua_dump
Done           | lua_error
Not done       | lua_gc
Not done       | lua_getallocf
Not done       | lua_getextraspace
Not done       | lua_getfield
Not done       | lua_getglobal
Not done       | lua_gethook
Not done       | lua_gethookcount
Not done       | lua_gethookmask
Not done       | lua_geti
Not done       | lua_getinfo
Not done       | lua_getiuservalue
Not done       | lua_getlocal
Not done       | lua_getmetatable
Not done       | lua_getstack
Not done       | lua_gettable
Done           | lua_gettop
Not done       | lua_getupvalue
Not done       | lua_insert
Done           | lua_isboolean
Done           | lua_iscfunction
Done           | lua_isfunction
Done           | lua_isinteger
Done           | lua_islightuserdata
Done           | lua_isnil
Done           | lua_isnone
Done           | lua_isnoneornil
Done           | lua_isnumber
Done           | lua_isstring
Done           | lua_istable
Done           | lua_isthread
Done           | lua_isuserdata
Done           | lua_isyieldable
Done           | lua_len
Not done       | lua_load
Incompatible   | lua_newstate
Done           | lua_newtable
Done           | lua_newthread
Not done       | lua_newuserdatauv
Not done       | lua_next
Not done       | lua_numbertointeger
Not done       | lua_pcall
Not done       | lua_pcallk
Done           | lua_pop
Not done       | lua_pushboolean
Not done       | lua_pushcclosure
Not done       | lua_pushcfunction
Not done       | lua_pushfstring
Not done       | lua_pushglobaltable
Not done       | lua_pushinteger
Done           | lua_pushlightuserdata
Done           | lua_pushliteral
Not done       | lua_pushlstring
Done           | lua_pushnil
Not done       | lua_pushnumber
Done           | lua_pushstring
Not done       | lua_pushthread
Done           | lua_pushvalue
Not done       | lua_pushvfstring
Not done       | lua_rawequal
Not done       | lua_rawget
Not done       | lua_rawgeti
Not done       | lua_rawgetp
Not done       | lua_rawlen
Not done       | lua_rawset
Not done       | lua_rawseti
Not done       | lua_rawsetp
Not done       | lua_register
Done           | lua_remove
Done           | lua_replace
Not done       | lua_resetthread
Done           | lua_resume
Not done       | lua_rotate
Not done       | lua_setallocf
Not done       | lua_setfield
Not done       | lua_setglobal
Not done       | lua_sethook
Not done       | lua_seti
Not done       | lua_setiuservalue
Not done       | lua_setlocal
Not done       | lua_setmetatable
Not done       | lua_settable
Not done       | lua_settop
Not done       | lua_setupvalue
Not done       | lua_setwarnf
Not done       | lua_status
Not done       | lua_stringtonumber
Not done       | lua_toboolean
Not done       | lua_tocfunction
Not done       | lua_toclose
Done           | lua_tointeger
Done           | lua_tointegerx
Done           | lua_tolstring
Done           | lua_tonumber
Done           | lua_tonumberx
Done           | lua_topointer
Done           | lua_tostring
Not done       | lua_tothread
Done           | lua_touserdata
Done           | lua_type
Done           | lua_typename
Not done       | lua_upvalueid
Not done       | lua_upvalueindex
Not done       | lua_upvaluejoin
Done           | lua_version
Not done       | lua_warning
Not done       | lua_xmove
Not done       | lua_yield
Not done       | lua_yieldk


